,Symbol,Name,Price,Change %,24h Volume,Market Cap,URL
0,BTC,Bitcoin,"$23,713.35",+0.78%,"25,221.54M","$457,790.65M",https://www.binance.com/en/trade/BTC_BUSD?_from=markets
1,ETH,Ethereum,"$1,657.32",+0.82%,"8,076.81M","$202,812.65M",https://www.binance.com/en/trade/ETH_BUSD?_from=markets
2,USDT,TetherUS,$1.00,+0.00%,"35,197.17M","$70,968.42M",https://www.binance.com/en/trade/BUSD_USDT?_from=markets
3,BNB,BNB,$302.60,-0.56%,391.36M,"$47,779.04M",https://www.binance.com/en/trade/BNB_BUSD?_from=markets
4,XRP,Ripple,$0.38090000,+0.29%,976.16M,"$19,407.20M",https://www.binance.com/en/trade/XRP_BUSD?_from=markets
5,ADA,Cardano,$0.36120000,-0.50%,269.67M,"$12,523.16M",https://www.binance.com/en/trade/ADA_BUSD?_from=markets
6,DOGE,Dogecoin,$0.08182000,-0.12%,327.75M,"$10,855.12M",https://www.binance.com/en/trade/DOGE_BUSD?_from=markets
7,MATIC,Polygon,$1.23,-0.53%,563.02M,"$10,743.21M",https://www.binance.com/en/trade/MATIC_BUSD?_from=markets
8,BUSD,BUSD,$1.00,+0.00%,"6,307.99M","$10,529.34M",https://www.binance.com/en/trade/BUSD_USDT?_from=markets
9,SOL,Solana,$22.54,-0.35%,379.03M,"$8,532.72M",https://www.binance.com/en/trade/SOL_BUSD?_from=markets
10,DOT,Polkadot,$6.46,-0.40%,275.46M,"$7,507.14M",https://www.binance.com/en/trade/DOT_BUSD?_from=markets
11,LTC,Litecoin,$97.67,+2.37%,549.73M,"$7,070.09M",https://www.binance.com/en/trade/LTC_BUSD?_from=markets
12,SHIB,SHIBA INU,$0.00001224,-1.45%,176.77M,"$6,720.53M",https://www.binance.com/en/trade/SHIB_BUSD?_from=markets
13,TRX,TRON,$0.07002000,+0.76%,216.79M,"$6,401.22M",https://www.binance.com/en/trade/TRX_BUSD?_from=markets
14,AVAX,Avalanche,$17.60,+0.06%,178.04M,"$5,716.17M",https://www.binance.com/en/trade/AVAX_BUSD?_from=markets
15,DAI,Dai,$1.00,+0.01%,179.28M,"$5,210.21M",https://www.binance.com/en/trade/DAI_BUSD?_from=markets
16,UNI,Uniswap,$6.80,+3.52%,98.09M,"$5,183.02M",https://www.binance.com/en/trade/UNI_BUSD?_from=markets
